name,printed_name,mana_cost,cmc,type_line,printed_type_line,oracle_text,printed_text,power,toughness,loyalty,colors
Worthy Cause,Worthy Cause,W,1.0,Instant,Instant,"Buyback {2} (You may pay an additional {2} as you cast this spell. If you do, put this card into your hand as it resolves.)
As an additional cost to cast this spell, sacrifice a creature.
You gain life equal to the sacrificed creature's toughness.","Buyback {2} (You may pay an additional {2} as you cast this spell. If you do, put this card into your hand as it resolves.)
As an additional cost to cast this spell, sacrifice a creature.
You gain life equal to the sacrificed creature's toughness.",,,,W
Phyrexian Walker,Phyrexian Walker,0,0.0,Artifact Creature — Phyrexian Construct,Artifact Creature — Phyrexian Construct,,,0,3,,N
Shaleskin Bruiser,Shaleskin Bruiser,6R,7.0,Creature — Beast,Creature — Beast,"Trample
Whenever this creature attacks, it gets +3/+0 until end of turn for each other attacking Beast.","Trample
Whenever this creature attacks, it gets +3/+0 until end of turn for each other attacking Beast.",4,4,,R
Wayfaring Giant,Wayfaring Giant,5W,6.0,Creature — Giant,Creature — Giant,Domain — This creature gets +1/+1 for each basic land type among lands you control.,Domain — This creature gets +1/+1 for each basic land type among lands you control.,1,3,,W
Urborg Justice,Urborg Justice,BB,2.0,Instant,Instant,Target opponent sacrifices a creature of their choice for each creature put into your graveyard from the battlefield this turn.,Target opponent sacrifices a creature of their choice for each creature put into your graveyard from the battlefield this turn.,,,,B
Teferi's Moat,Teferi's Moat,3WU,5.0,Enchantment,Enchantment,"As this enchantment enters, choose a color.
Creatures of the chosen color without flying can't attack you.","As this enchantment enters, choose a color.
Creatures of the chosen color without flying can't attack you.",,,,Z
Ramosian Sergeant,Ramosian Sergeant,W,1.0,Creature — Human Rebel,Creature — Human Rebel,"{3}, {T}: Search your library for a Rebel permanent card with mana value 2 or less, put it onto the battlefield, then shuffle.","{3}, {T}: Search your library for a Rebel permanent card with mana value 2 or less, put it onto the battlefield, then shuffle.",1,1,,W
Aven Windreader,Aven Windreader,3UU,5.0,Creature — Bird Soldier Wizard,Creature — Bird Soldier Wizard,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Target player reveals the top card of their library.","Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Target player reveals the top card of their library.",3,3,,U
Ox of Agonas,Ox of Agonas,3RR,5.0,Creature — Ox,Creature — Ox,"When this creature enters, discard your hand, then draw three cards.
Escape—{R}{R}, Exile eight other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)
This creature escapes with a +1/+1 counter on it.","When this creature enters, discard your hand, then draw three cards.
Escape—{R}{R}, Exile eight other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)
This creature escapes with a +1/+1 counter on it.",4,2,,R
Aysen Bureaucrats,Aysen Bureaucrats,1W,2.0,Creature — Human Advisor,Creature — Human Advisor,{T}: Tap target creature with power 2 or less.,{T}: Tap target creature with power 2 or less.,1,1,,W
Desperate Charge,Desperate Charge,2B,3.0,Sorcery,Sorcery,Creatures you control get +2/+0 until end of turn.,Creatures you control get +2/+0 until end of turn.,,,,B
Squirrel Mob,Squirrel Mob,1GG,3.0,Creature — Squirrel,Creature — Squirrel,This creature gets +1/+1 for each other Squirrel on the battlefield.,This creature gets +1/+1 for each other Squirrel on the battlefield.,2,2,,G
Weatherseed Elf,Weatherseed Elf,G,1.0,Creature — Elf,Creature — Elf,{T}: Target creature gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.),{T}: Target creature gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.),1,1,,G
Dwarven Soldier,Dwarven Soldier,1R,2.0,Creature — Dwarf Soldier,Creature — Dwarf Soldier,"Whenever this creature blocks or becomes blocked by one or more Orcs, this creature gets +0/+2 until end of turn.","Whenever this creature blocks or becomes blocked by one or more Orcs, this creature gets +0/+2 until end of turn.",2,1,,R
Nimble Mongoose,Nimble Mongoose,G,1.0,Creature — Mongoose,Creature — Mongoose,"Shroud (This creature can't be the target of spells or abilities.)
Threshold — This creature gets +2/+2 as long as seven or more cards are in your graveyard.","Shroud (This creature can't be the target of spells or abilities.)
Threshold — This creature gets +2/+2 as long as seven or more cards are in your graveyard.",1,1,,G
Talruum Piper,Talruum Piper,4R,5.0,Creature — Minotaur,Creature — Minotaur,All creatures with flying able to block this creature do so.,All creatures with flying able to block this creature do so.,3,3,,R
Lavamancer's Skill,Lavamancer's Skill,1R,2.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature has ""{T}: This creature deals 1 damage to target creature.""
As long as enchanted creature is a Wizard, it has ""{T}: This creature deals 2 damage to target creature.""","Enchant creature
Enchanted creature has ""{T}: This creature deals 1 damage to target creature.""
As long as enchanted creature is a Wizard, it has ""{T}: This creature deals 2 damage to target creature.""",,,,R
Rushwood Elemental,Rushwood Elemental,GGGGG,5.0,Creature — Elemental,Creature — Elemental,"Trample
At the beginning of your upkeep, you may put a +1/+1 counter on this creature.","Trample
At the beginning of your upkeep, you may put a +1/+1 counter on this creature.",4,4,,G
Shoreline Raider,Shoreline Raider,2U,3.0,Creature — Merfolk,Creature — Merfolk,Protection from Kavu,Protection from Kavu,2,2,,U
Pygmy Pyrosaur,Pygmy Pyrosaur,1R,2.0,Creature — Lizard,Creature — Lizard,"This creature can't block.
{R}: This creature gets +1/+0 until end of turn.","This creature can't block.
{R}: This creature gets +1/+0 until end of turn.",1,1,,R
Abyssal Hunter,Abyssal Hunter,3B,4.0,Creature — Human Assassin,Creature — Human Assassin,"{B}, {T}: Tap target creature. This creature deals damage equal to its power to that creature.","{B}, {T}: Tap target creature. This creature deals damage equal to its power to that creature.",1,1,,B
Cavern Crawler,Cavern Crawler,2R,3.0,Creature — Insect,Creature — Insect,"Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
{R}: This creature gets +1/-1 until end of turn.","Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
{R}: This creature gets +1/-1 until end of turn.",0,3,,R
Obelisk of Undoing,Obelisk of Undoing,1,1.0,Artifact,Artifact,"{6}, {T}: Return target permanent you both own and control to your hand.","{6}, {T}: Return target permanent you both own and control to your hand.",,,,N
Goblin Striker,Goblin Striker,1R,2.0,Creature — Goblin Berserker,Creature — Goblin Berserker,"First strike, haste","First strike, haste",1,1,,R
Silver Wyvern,Silver Wyvern,3UU,5.0,Creature — Drake,Creature — Drake,"Flying
{U}: Change the target of target spell or ability that targets only this creature. The new target must be a creature.","Flying
{U}: Change the target of target spell or ability that targets only this creature. The new target must be a creature.",4,3,,U
Aether Barrier,Aether Barrier,2U,3.0,Enchantment,Enchantment,"Whenever a player casts a creature spell, that player sacrifices a permanent of their choice unless they pay {1}.","Whenever a player casts a creature spell, that player sacrifices a permanent of their choice unless they pay {1}.",,,,U
Goblin Lackey,Goblin Lackey,R,1.0,Creature — Goblin,Creature — Goblin,"Whenever this creature deals damage to a player, you may put a Goblin permanent card from your hand onto the battlefield.","Whenever this creature deals damage to a player, you may put a Goblin permanent card from your hand onto the battlefield.",1,1,,R
Taj-Nar Swordsmith,Taj-Nar Swordsmith,3W,4.0,Creature — Cat Soldier,Creature — Cat Soldier,"When this creature enters, you may pay {X}. If you do, search your library for an Equipment card with mana value X or less, put that card onto the battlefield, then shuffle.","When this creature enters, you may pay {X}. If you do, search your library for an Equipment card with mana value X or less, put that card onto the battlefield, then shuffle.",2,3,,W
Gamble,Gamble,R,1.0,Sorcery,Sorcery,"Search your library for a card, put that card into your hand, discard a card at random, then shuffle.","Search your library for a card, put that card into your hand, discard a card at random, then shuffle.",,,,R
Gala Greeters,Gala Greeters,1G,2.0,Creature — Elf Druid,Creature — Elf Druid,"Alliance — Whenever another creature you control enters, choose one that hasn't been chosen this turn —
• Put a +1/+1 counter on this creature.
• Create a tapped Treasure token.
• You gain 2 life.","Alliance — Whenever another creature you control enters, choose one that hasn't been chosen this turn —
• Put a +1/+1 counter on this creature.
• Create a tapped Treasure token.
• You gain 2 life.",1,1,,G
Daru Encampment,Daru Encampment,,0.0,Land,Land,"{T}: Add {C}.
{W}, {T}: Target Soldier creature gets +1/+1 until end of turn.","{T}: Add {C}.
{W}, {T}: Target Soldier creature gets +1/+1 until end of turn.",,,,L
Llanowar Druid,Llanowar Druid,1G,2.0,Creature — Elf Druid,Creature — Elf Druid,"{T}, Sacrifice this creature: Untap all Forests.","{T}, Sacrifice this creature: Untap all Forests.",1,2,,G
Oasis,Oasis,,0.0,Land,Land,{T}: Prevent the next 1 damage that would be dealt to target creature this turn.,{T}: Prevent the next 1 damage that would be dealt to target creature this turn.,,,,L
Tangle Wire,Tangle Wire,3,3.0,Artifact,Artifact,"Fading 4 (This artifact enters with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
At the beginning of each player's upkeep, that player taps an untapped artifact, creature, or land they control for each fade counter on this artifact.","Fading 4 (This artifact enters with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
At the beginning of each player's upkeep, that player taps an untapped artifact, creature, or land they control for each fade counter on this artifact.",,,,N
Soothsaying,Soothsaying,U,1.0,Enchantment,Enchantment,"{3}{U}{U}: Shuffle your library.
{X}: Look at the top X cards of your library, then put them back in any order.","{3}{U}{U}: Shuffle your library.
{X}: Look at the top X cards of your library, then put them back in any order.",,,,U
Silver Myr,Silver Myr,2,2.0,Artifact Creature — Myr,Artifact Creature — Myr,{T}: Add {U}.,{T}: Add {U}.,1,1,,N
Aurochs,Aurochs,3G,4.0,Creature — Aurochs,Creature — Aurochs,"Trample
Whenever this creature attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.","Trample
Whenever this creature attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.",2,3,,G
Anurid Barkripper,Anurid Barkripper,1GG,3.0,Creature — Frog Beast,Creature — Frog Beast,Threshold — This creature gets +2/+2 as long as seven or more cards are in your graveyard.,Threshold — This creature gets +2/+2 as long as seven or more cards are in your graveyard.,2,2,,G
Battlegrowth,Battlegrowth,G,1.0,Instant,Instant,Put a +1/+1 counter on target creature.,Put a +1/+1 counter on target creature.,,,,G
Balduvian Horde,Balduvian Horde,2RR,4.0,Creature — Human Barbarian,Creature — Human Barbarian,"When this creature enters, sacrifice it unless you discard a card at random.","When this creature enters, sacrifice it unless you discard a card at random.",5,5,,R
Ancestral Knowledge,Ancestral Knowledge,1U,2.0,Enchantment,Enchantment,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
When this enchantment enters, look at the top ten cards of your library, then exile any number of them and put the rest back on top of your library in any order.
When this enchantment leaves the battlefield, shuffle your library.","Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
When this enchantment enters, look at the top ten cards of your library, then exile any number of them and put the rest back on top of your library in any order.
When this enchantment leaves the battlefield, shuffle your library.",,,,U
Kyren Sniper,Kyren Sniper,2R,3.0,Creature — Goblin,Creature — Goblin,"At the beginning of your upkeep, you may have this creature deal 1 damage to target player or planeswalker.","At the beginning of your upkeep, you may have this creature deal 1 damage to target player or planeswalker.",1,1,,R
Dedicated Martyr,Dedicated Martyr,W,1.0,Creature — Human Cleric,Creature — Human Cleric,"{W}, Sacrifice this creature: You gain 3 life.","{W}, Sacrifice this creature: You gain 3 life.",1,1,,W
Thoughtleech,Thoughtleech,GG,2.0,Enchantment,Enchantment,"Whenever an Island an opponent controls becomes tapped, you may gain 1 life.","Whenever an Island an opponent controls becomes tapped, you may gain 1 life.",,,,G
Voidmage Prodigy,Voidmage Prodigy,UU,2.0,Creature — Human Wizard,Creature — Human Wizard,"{U}{U}, Sacrifice a Wizard: Counter target spell.
Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","{U}{U}, Sacrifice a Wizard: Counter target spell.
Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",2,1,,U
Zodiac Dog,Zodiac Dog,2R,3.0,Creature — Dog,Creature — Dog,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),2,2,,R
Forsaken City,Forsaken City,,0.0,Land,Land,"This land doesn't untap during your untap step.
At the beginning of your upkeep, you may exile a card from your hand. If you do, untap this land.
{T}: Add one mana of any color.","This land doesn't untap during your untap step.
At the beginning of your upkeep, you may exile a card from your hand. If you do, untap this land.
{T}: Add one mana of any color.",,,,L
Mercadian Lift,Mercadian Lift,2,2.0,Artifact,Artifact,"{1}, {T}: Put a winch counter on this artifact.
{T}, Remove X winch counters from this artifact: You may put a creature card with mana value X from your hand onto the battlefield.","{1}, {T}: Put a winch counter on this artifact.
{T}, Remove X winch counters from this artifact: You may put a creature card with mana value X from your hand onto the battlefield.",,,,N
"Sun Ce, Young Conquerer","Sun Ce, Young Conquerer",3UU,5.0,Legendary Creature — Human Soldier,Legendary Creature — Human Soldier,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
When Sun Ce enters, you may return target creature to its owner's hand.","Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
When Sun Ce enters, you may return target creature to its owner's hand.",3,3,,U
Moonlit Wake,Moonlit Wake,2W,3.0,Enchantment,Enchantment,"Whenever a creature dies, you gain 1 life.","Whenever a creature dies, you gain 1 life.",,,,W
Krosan Avenger,Krosan Avenger,2G,3.0,Creature — Human Druid,Creature — Human Druid,"Trample
Threshold — {1}{G}: Regenerate this creature. Activate only if seven or more cards are in your graveyard.","Trample
Threshold — {1}{G}: Regenerate this creature. Activate only if seven or more cards are in your graveyard.",3,1,,G
Spirit Mirror,Spirit Mirror,2WW,4.0,Enchantment,Enchantment,"At the beginning of your upkeep, if there are no Reflection tokens on the battlefield, create a 2/2 white Reflection creature token.
{0}: Destroy target Reflection.","At the beginning of your upkeep, if there are no Reflection tokens on the battlefield, create a 2/2 white Reflection creature token.
{0}: Destroy target Reflection.",,,,W
Krosan Vorine,Krosan Vorine,3G,4.0,Creature — Cat Beast,Creature — Cat Beast,"Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)
This creature can't be blocked by more than one creature.","Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)
This creature can't be blocked by more than one creature.",3,2,,G
Krosan Groundshaker,Krosan Groundshaker,4GGG,7.0,Creature — Beast,Creature — Beast,{G}: Target Beast creature gains trample until end of turn.,{G}: Target Beast creature gains trample until end of turn.,6,6,,G
Goblin Turncoat,Goblin Turncoat,1B,2.0,Creature — Goblin Mercenary,Creature — Goblin Mercenary,Sacrifice a Goblin: Regenerate this creature.,Sacrifice a Goblin: Regenerate this creature.,2,1,,B
Gravestorm,Gravestorm,BBB,3.0,Enchantment,Enchantment,"At the beginning of your upkeep, target opponent may exile a card from their graveyard. If that player doesn't, you may draw a card.","At the beginning of your upkeep, target opponent may exile a card from their graveyard. If that player doesn't, you may draw a card.",,,,B
Mogg Raider,Mogg Raider,R,1.0,Creature — Goblin,Creature — Goblin,Sacrifice a Goblin: Target creature gets +1/+1 until end of turn.,Sacrifice a Goblin: Target creature gets +1/+1 until end of turn.,1,1,,R
Charging Bandits,Charging Bandits,4B,5.0,Creature — Human Rogue,Creature — Human Rogue,"Whenever this creature attacks, it gets +2/+0 until end of turn.","Whenever this creature attacks, it gets +2/+0 until end of turn.",3,3,,B
Spiritual Asylum,Spiritual Asylum,2WW,4.0,Enchantment,Enchantment,"Creatures and lands you control have shroud. (They can't be the targets of spells or abilities.)
When a creature you control attacks, sacrifice this enchantment.","Creatures and lands you control have shroud. (They can't be the targets of spells or abilities.)
When a creature you control attacks, sacrifice this enchantment.",,,,W
Pradesh Gypsies,Pradesh Gypsies,2G,3.0,Creature — Human Nomad,Creature — Human Nomad,"{1}{G}, {T}: Target creature gets -2/-0 until end of turn.","{1}{G}, {T}: Target creature gets -2/-0 until end of turn.",1,1,,G
Talisman of Impulse,Talisman of Impulse,2,2.0,Artifact,Artifact,"{T}: Add {C}.
{T}: Add {R} or {G}. This artifact deals 1 damage to you.","{T}: Add {C}.
{T}: Add {R} or {G}. This artifact deals 1 damage to you.",,,,N
Chain of Silence,Chain of Silence,1W,2.0,Instant,Instant,"Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land of their choice. If the player does, they may copy this spell and may choose a new target for that copy.","Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land of their choice. If the player does, they may copy this spell and may choose a new target for that copy.",,,,W
Curiosity,Curiosity,U,1.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Whenever enchanted creature deals damage to an opponent, you may draw a card.","Enchant creature
Whenever enchanted creature deals damage to an opponent, you may draw a card.",,,,U
False Mourning,False Mourning,G,1.0,Sorcery,Sorcery,Put target card from your graveyard on top of your library.,Put target card from your graveyard on top of your library.,,,,G
"Pang Tong, ""Young Phoenix""","Pang Tong, ""Young Phoenix""",1WW,3.0,Legendary Creature — Human Advisor,Legendary Creature — Human Advisor,"{T}: Target creature gets +0/+2 until end of turn. Activate only during your turn, before attackers are declared.","{T}: Target creature gets +0/+2 until end of turn. Activate only during your turn, before attackers are declared.",1,2,,W
Seahunter,Seahunter,2UU,4.0,Creature — Human Mercenary,Creature — Human Mercenary,"{3}, {T}: Search your library for a Merfolk permanent card, put it onto the battlefield, then shuffle.","{3}, {T}: Search your library for a Merfolk permanent card, put it onto the battlefield, then shuffle.",2,2,,U
Disruptive Student,Disruptive Student,2U,3.0,Creature — Human Wizard,Creature — Human Wizard,{T}: Counter target spell unless its controller pays {1}.,{T}: Counter target spell unless its controller pays {1}.,1,1,,U
Contamination,Contamination,2B,3.0,Enchantment,Enchantment,"At the beginning of your upkeep, sacrifice this enchantment unless you sacrifice a creature.
If a land is tapped for mana, it produces {B} instead of any other type and amount.","At the beginning of your upkeep, sacrifice this enchantment unless you sacrifice a creature.
If a land is tapped for mana, it produces {B} instead of any other type and amount.",,,,B
Convalescent Care,Convalescent Care,1WW,3.0,Enchantment,Enchantment,"At the beginning of your upkeep, if you have 5 or less life, you gain 3 life and draw a card.","At the beginning of your upkeep, if you have 5 or less life, you gain 3 life and draw a card.",,,,W
Orim's Prayer,Orim's Prayer,1WW,3.0,Enchantment,Enchantment,"Whenever one or more creatures attack you, you gain 1 life for each attacking creature.","Whenever one or more creatures attack you, you gain 1 life for each attacking creature.",,,,W
Rancor,Rancor,G,1.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature gets +2/+0 and has trample.
When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.","Enchant creature
Enchanted creature gets +2/+0 and has trample.
When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.",,,,G
Crystal Chimes,Crystal Chimes,3,3.0,Artifact,Artifact,"{3}, {T}, Sacrifice this artifact: Return all enchantment cards from your graveyard to your hand.","{3}, {T}, Sacrifice this artifact: Return all enchantment cards from your graveyard to your hand.",,,,N
Invigorating Boon,Invigorating Boon,1G,2.0,Enchantment,Enchantment,"Whenever a player cycles a card, you may put a +1/+1 counter on target creature.","Whenever a player cycles a card, you may put a +1/+1 counter on target creature.",,,,G
Predator's Strike,Predator's Strike,1G,2.0,Instant,Instant,Target creature gets +3/+3 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.),Target creature gets +3/+3 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.),,,,G
Keldon Firebombers,Keldon Firebombers,3RR,5.0,Creature — Human Soldier,Creature — Human Soldier,"When this creature enters, each player sacrifices all lands they control except for three.","When this creature enters, each player sacrifices all lands they control except for three.",3,3,,R
Sunken Field,Sunken Field,1U,2.0,Enchantment — Aura,Enchantment — Aura,"Enchant land
Enchanted land has ""{T}: Counter target spell unless its controller pays {1}.""","Enchant land
Enchanted land has ""{T}: Counter target spell unless its controller pays {1}.""",,,,U
Fact or Fiction,Fact or Fiction,3U,4.0,Instant,Instant,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.,,,,U
Rhystic Circle,Rhystic Circle,2WW,4.0,Enchantment,Enchantment,"{1}: Any player may pay {1}. If no one does, the next time a source of your choice would deal damage to you this turn, prevent that damage.","{1}: Any player may pay {1}. If no one does, the next time a source of your choice would deal damage to you this turn, prevent that damage.",,,,W
Riptide Laboratory,Riptide Laboratory,,0.0,Land,Land,"{T}: Add {C}.
{1}{U}, {T}: Return target Wizard you control to its owner's hand.","{T}: Add {C}.
{1}{U}, {T}: Return target Wizard you control to its owner's hand.",,,,L
Shrieking Drake,Shrieking Drake,U,1.0,Creature — Drake,Creature — Drake,"Flying
When this creature enters, return a creature you control to its owner's hand.","Flying
When this creature enters, return a creature you control to its owner's hand.",1,1,,U
Final Punishment,Final Punishment,3BB,5.0,Sorcery,Sorcery,Target player loses life equal to the damage already dealt to that player this turn.,Target player loses life equal to the damage already dealt to that player this turn.,,,,B
Mobile Fort,Mobile Fort,4,4.0,Artifact Creature — Wall,Artifact Creature — Wall,"Defender (This creature can't attack.)
{3}: This creature gets +3/-1 until end of turn and can attack this turn as though it didn't have defender. Activate only once each turn.","Defender (This creature can't attack.)
{3}: This creature gets +3/-1 until end of turn and can attack this turn as though it didn't have defender. Activate only once each turn.",0,6,,N
Hypochondria,Hypochondria,1W,2.0,Enchantment,Enchantment,"{W}, Discard a card: Prevent the next 3 damage that would be dealt to any target this turn.
{W}, Sacrifice this enchantment: Prevent the next 3 damage that would be dealt to any target this turn.","{W}, Discard a card: Prevent the next 3 damage that would be dealt to any target this turn.
{W}, Sacrifice this enchantment: Prevent the next 3 damage that would be dealt to any target this turn.",,,,W
Tribal Flames,Tribal Flames,1R,2.0,Sorcery,Sorcery,"Domain — Tribal Flames deals X damage to any target, where X is the number of basic land types among lands you control.","Domain — Tribal Flames deals X damage to any target, where X is the number of basic land types among lands you control.",,,,R
Recoil,Recoil,1UB,3.0,Instant,Instant,Return target permanent to its owner's hand. Then that player discards a card.,Return target permanent to its owner's hand. Then that player discards a card.,,,,Z
Pikemen,Pikemen,1W,2.0,Creature — Human Soldier,Creature — Human Soldier,"First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",1,1,,W
Laccolith Whelp,Laccolith Whelp,R,1.0,Creature — Beast,Creature — Beast,"Whenever this creature becomes blocked, you may have it deal damage equal to its power to target creature. If you do, this creature assigns no combat damage this turn.","Whenever this creature becomes blocked, you may have it deal damage equal to its power to target creature. If you do, this creature assigns no combat damage this turn.",1,1,,R
Samite Pilgrim,Samite Pilgrim,1W,2.0,Creature — Human Cleric,Creature — Human Cleric,"Domain — {T}: Prevent the next X damage that would be dealt to target creature this turn, where X is the number of basic land types among lands you control.","Domain — {T}: Prevent the next X damage that would be dealt to target creature this turn, where X is the number of basic land types among lands you control.",1,1,,W
Kamahl's Sledge,Kamahl's Sledge,5RR,7.0,Sorcery,Sorcery,"Kamahl's Sledge deals 4 damage to target creature.
Threshold — If seven or more cards are in your graveyard, instead Kamahl's Sledge deals 4 damage to that creature and 4 damage to that creature's controller.","Kamahl's Sledge deals 4 damage to target creature.
Threshold — If seven or more cards are in your graveyard, instead Kamahl's Sledge deals 4 damage to that creature and 4 damage to that creature's controller.",,,,R
Mistform Warchief,Mistform Warchief,2U,3.0,Creature — Illusion,Creature — Illusion,"Creature spells you cast that share a creature type with this creature cost {1} less to cast.
{T}: This creature becomes the creature type of your choice until end of turn.","Creature spells you cast that share a creature type with this creature cost {1} less to cast.
{T}: This creature becomes the creature type of your choice until end of turn.",1,3,,U
Rites of Initiation,Rites of Initiation,R,1.0,Instant,Instant,Discard any number of cards at random. Creatures you control get +1/+0 until end of turn for each card discarded this way.,Discard any number of cards at random. Creatures you control get +1/+0 until end of turn for each card discarded this way.,,,,R
Soltari Crusader,Soltari Crusader,2W,3.0,Creature — Soltari Knight,Creature — Soltari Knight,"Shadow (This creature can block or be blocked by only creatures with shadow.)
{1}{W}: This creature gets +1/+0 until end of turn.","Shadow (This creature can block or be blocked by only creatures with shadow.)
{1}{W}: This creature gets +1/+0 until end of turn.",2,1,,W
Broodhatch Nantuko,Broodhatch Nantuko,1G,2.0,Creature — Insect Druid,Creature — Insect Druid,"Whenever this creature is dealt damage, you may create that many 1/1 green Insect creature tokens.
Morph {2}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","Whenever this creature is dealt damage, you may create that many 1/1 green Insect creature tokens.
Morph {2}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,,G
Goblin Warchief,Goblin Warchief,1RR,3.0,Creature — Goblin Warrior,Creature — Goblin Warrior,"Goblin spells you cast cost {1} less to cast.
Goblins you control have haste.","Goblin spells you cast cost {1} less to cast.
Goblins you control have haste.",2,2,,R
Goblin Taskmaster,Goblin Taskmaster,R,1.0,Creature — Goblin,Creature — Goblin,"{1}{R}: Target Goblin creature gets +1/+0 until end of turn.
Morph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","{1}{R}: Target Goblin creature gets +1/+0 until end of turn.
Morph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,,R
Mercadia's Downfall,Mercadia's Downfall,2R,3.0,Instant,Instant,Each attacking creature gets +1/+0 until end of turn for each nonbasic land defending player controls.,Each attacking creature gets +1/+0 until end of turn for each nonbasic land defending player controls.,,,,R
Sea Snidd,Sea Snidd,4U,5.0,Creature — Beast,Creature — Beast,{T}: Target land becomes the basic land type of your choice until end of turn.,{T}: Target land becomes the basic land type of your choice until end of turn.,3,3,,U
The Rack,The Rack,1,1.0,Artifact,Artifact,"As this artifact enters, choose an opponent.
At the beginning of the chosen player's upkeep, this artifact deals X damage to that player, where X is 3 minus the number of cards in their hand.","As this artifact enters, choose an opponent.
At the beginning of the chosen player's upkeep, this artifact deals X damage to that player, where X is 3 minus the number of cards in their hand.",,,,N
Refresh,Refresh,2G,3.0,Instant,Instant,"Regenerate target creature.
Draw a card.","Regenerate target creature.
Draw a card.",,,,G
Gilded Lotus,Gilded Lotus,5,5.0,Artifact,Artifact,{T}: Add three mana of any one color.,{T}: Add three mana of any one color.,,,,N
Royal Assassin,Royal Assassin,1BB,3.0,Creature — Human Assassin,Creature — Human Assassin,{T}: Destroy target tapped creature.,{T}: Destroy target tapped creature.,1,1,,B
Timesifter,Timesifter,5,5.0,Artifact,Artifact,"At the beginning of each upkeep, each player exiles the top card of their library. The player who exiled the card with the highest mana value takes an extra turn after this one. If two or more players' cards are tied for highest, the tied players repeat this process until the tie is broken.","At the beginning of each upkeep, each player exiles the top card of their library. The player who exiled the card with the highest mana value takes an extra turn after this one. If two or more players' cards are tied for highest, the tied players repeat this process until the tie is broken.",,,,N
Gossamer Chains,Gossamer Chains,WW,2.0,Enchantment,Enchantment,Return this enchantment to its owner's hand: Prevent all combat damage that would be dealt by target unblocked creature this turn.,Return this enchantment to its owner's hand: Prevent all combat damage that would be dealt by target unblocked creature this turn.,,,,W
Phyrexian Ghoul,Phyrexian Ghoul,2B,3.0,Creature — Phyrexian Zombie,Creature — Phyrexian Zombie,Sacrifice a creature: This creature gets +2/+2 until end of turn.,Sacrifice a creature: This creature gets +2/+2 until end of turn.,2,2,,B
