eng_name,chn_name,jpn_name,cost,mana,color,type,chn_type,pt,p,t,loyalty,rule,chn_rule,back_name,created,update
Mind Burst,,,1B,2.0,B,Sorcery,,,,,,"Target player discards X cards, where X is one plus the number of cards named Mind Burst in all graveyards.",,,,
Dragon Mage,,,5RR,7.0,R,Creature — Dragon Wizard,,5/5,5,5,,"Flying
Whenever this creature deals combat damage to a player, each player discards their hand, then draws seven cards.",,,,
Stormwatch Eagle,,,3U,4.0,U,Creature — Bird,,2/1,2,1,,"Flying
Sacrifice a land: Return this creature to its owner's hand.",,,,
Scent of Jasmine,,,W,1.0,W,Instant,,,,,,Reveal any number of white cards in your hand. You gain 2 life for each card revealed this way.,,,,
Dispersal Shield,,,1U,2.0,U,Instant,,,,,,Counter target spell if its mana value is less than or equal to the highest mana value among permanents you control.,,,,
Book Burning,,,1R,2.0,R,Sorcery,,,,,,"Any player may have Book Burning deal 6 damage to them. If no one does, target player mills six cards.",,,,
Cetavolver,,,1U,2.0,U,Creature — Volver,,1/1,1,1,,"Kicker {1}{R} and/or {G} (You may pay an additional {1}{R} and/or {G} as you cast this spell.)
If this creature was kicked with its {1}{R} kicker, it enters with two +1/+1 counters on it and with first strike.
If this creature was kicked with its {G} kicker, it enters with a +1/+1 counter on it and with trample.",,,,
Treefolk Healer,,,4G,5.0,G,Creature — Treefolk Cleric,,2/3,2,3,,"{2}{W}, {T}: Prevent the next 2 damage that would be dealt to any target this turn.",,,,
Trip Wire,,,2G,3.0,G,Sorcery,,,,,,Destroy target creature with horsemanship.,,,,
Fiery Temper,,,1RR,3.0,R,Instant,,,,,,"Fiery Temper deals 3 damage to any target.
Madness {R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",,,,
Volunteer Reserves,,,1W,2.0,W,Creature — Human Soldier,,2/4,2,4,,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",,,,
Brand,,,R,1.0,R,Instant,,,,,,"Gain control of all permanents you own. (This effect lasts indefinitely.)
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Skyshroud Sentinel,,,2G,3.0,G,Creature — Elf,,1/1,1,1,,"When this creature enters, you may search your library for up to three cards named Skyshroud Sentinel, reveal them, put them into your hand, then shuffle.",,,,
City of Solitude,,,2G,3.0,G,Enchantment,,,,,,Players can cast spells and activate abilities only during their own turns.,,,,
Pardic Collaborator,,,3R,4.0,R,Creature — Human Barbarian,,2/2,2,2,,"First strike
{B}: This creature gets +1/+1 until end of turn.",,,,
Voice of the Woods,,,3GG,5.0,G,Creature — Elf,,2/2,2,2,,Tap five untapped Elves you control: Create a 7/7 green Elemental creature token with trample. (It can deal excess combat damage to the player or planeswalker it's attacking.),,,,
Choking Vines,,,XG,1.0,G,Instant,,,,,,"Cast this spell only during the declare blockers step.
X target attacking creatures become blocked. Choking Vines deals 1 damage to each of those creatures. (This spell works on creatures that can't be blocked.)",,,,
Ember Beast,,,2R,3.0,R,Creature — Beast,,3/4,3,4,,This creature can't attack or block alone.,,,,
Chain of Acid,,,3G,4.0,G,Sorcery,,,,,,Destroy target noncreature permanent. Then that permanent's controller may copy this spell and may choose a new target for that copy.,,,,
Briar Shield,,,G,1.0,G,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +1/+1.
Sacrifice this Aura: Enchanted creature gets +3/+3 until end of turn.",,,,
Change of Heart,,,W,1.0,W,Instant,,,,,,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Target creature can't attack this turn.",,,,
Mine Layer,,,3R,4.0,R,Creature — Dwarf,,1/1,1,1,,"{1}{R}, {T}: Put a mine counter on target land.
Whenever a land with a mine counter on it becomes tapped, destroy it.
When this creature leaves the battlefield, remove all mine counters from all lands.",,,,
Waterspout Djinn,,,2UU,4.0,U,Creature — Djinn,,4/4,4,4,,"Flying
At the beginning of your upkeep, sacrifice this creature unless you return an untapped Island you control to its owner's hand.",,,,
Rancid Earth,,,1BB,3.0,B,Sorcery,,,,,,"Destroy target land.
Threshold — If seven or more cards are in your graveyard, instead destroy that land and Rancid Earth deals 1 damage to each creature and each player.",,,,
Quagmire Druid,,,2B,3.0,B,Creature — Zombie Druid,,2/2,2,2,,"{G}, {T}, Sacrifice a creature: Destroy target enchantment.",,,,
Rith's Grove,,,,0.0,L,Land — Lair,,,,,,"When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand.
{T}: Add {R}, {G}, or {W}.",,,,
Gangrenous Goliath,,,3BB,5.0,B,Creature — Zombie Giant,,4/4,4,4,,Tap three untapped Clerics you control: Return this card from your graveyard to your hand.,,,,
Winnow,,,1W,2.0,W,Instant,,,,,,"Destroy target nonland permanent if another permanent with the same name is on the battlefield.
Draw a card.",,,,
Glowrider,,,2W,3.0,W,Creature — Human Cleric,,2/1,2,1,,Noncreature spells cost {1} more to cast.,,,,
Wei Night Raiders,,,2BB,4.0,B,Creature — Human Soldier,,2/2,2,2,,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Whenever this creature deals damage to an opponent, that player discards a card.",,,,
Magma Vein,,,2R,3.0,R,Enchantment,,,,,,"{R}, Sacrifice a land: This enchantment deals 1 damage to each creature without flying.",,,,
Opal Gargoyle,,,1W,2.0,W,Enchantment,,,,,,"When an opponent casts a creature spell, if this permanent is an enchantment, it becomes a 2/2 Gargoyle creature with flying.",,,,
Aven Envoy,,,U,1.0,U,Creature — Bird Soldier,,0/2,0,2,,Flying,,,,
Demoralize,,,2R,3.0,R,Instant,,,,,,"All creatures gain menace until end of turn. (They can't be blocked except by two or more creatures.)
Threshold — If seven or more cards are in your graveyard, creatures can't block this turn.",,,,
Springing Tiger,,,3G,4.0,G,Creature — Cat,,3/3,3,3,,Threshold — This creature gets +2/+2 as long as seven or more cards are in your graveyard.,,,,
Hurkyl's Recall,,,1U,2.0,U,Instant,,,,,,Return all artifacts target player owns to their hand.,,,,
Soltari Emissary,,,1W,2.0,W,Creature — Soltari Soldier,,2/1,2,1,,{W}: This creature gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.),,,,
Lightning Hounds,,,2RR,4.0,R,Creature — Dog,,3/2,3,2,,First strike,,,,
Balshan Collaborator,,,3U,4.0,U,Creature — Bird Soldier,,2/2,2,2,,"Flying
{B}: This creature gets +1/+1 until end of turn.",,,,
Kamahl's Desire,,,1R,2.0,R,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature has first strike.
Threshold — Enchanted creature gets +3/+0 as long as seven or more cards are in your graveyard.",,,,
Gilded Drake,,,1U,2.0,U,Creature — Drake,,3/3,3,3,,"Flying
When this creature enters, exchange control of this creature and up to one target creature an opponent controls. If you don't or can't make an exchange, sacrifice this creature. This ability still resolves if its target becomes illegal.",,,,
Iridescent Drake,,,3U,4.0,U,Creature — Drake,,2/2,2,2,,"Flying
When this creature enters, put target Aura card from a graveyard onto the battlefield under your control attached to this creature.",,,,
Treetop Sentinel,,,2UU,4.0,U,Creature — Bird Soldier,,2/3,2,3,,"Flying, protection from green",,,,
Flame Wave,,,3RRRR,7.0,R,Sorcery,,,,,,Flame Wave deals 4 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.,,,,
Icatian Scout,,,W,1.0,W,Creature — Human Soldier Scout,,1/1,1,1,,"{1}, {T}: Target creature gains first strike until end of turn.",,,,
Hurloon Shaman,,,1RR,3.0,R,Creature — Minotaur Shaman,,2/3,2,3,,"When this creature dies, each player sacrifices a land of their choice.",,,,
Mountain Bandit,,,R,1.0,R,Creature — Human Soldier Rogue,,1/1,1,1,,Haste,,,,
Foil,,,2UU,4.0,U,Instant,,,,,,"You may discard an Island card and another card rather than pay this spell's mana cost.
Counter target spell.",,,,
Serpentine Kavu,,,4G,5.0,G,Creature — Kavu,,4/4,4,4,,{R}: This creature gains haste until end of turn.,,,,
Blessed Wind,,,7WW,9.0,W,Sorcery,,,,,,Target player's life total becomes 20.,,,,
Mageta's Boon,,,1W,2.0,W,Enchantment — Aura,,,,,,"Flash
Enchant creature
Enchanted creature gets +1/+2.",,,,
Ephemeron,,,4UU,6.0,U,Creature — Illusion,,4/4,4,4,,"Flying
Discard a card: Return this creature to its owner's hand.",,,,
Odylic Wraith,,,3B,4.0,B,Creature — Wraith,,2/2,2,2,,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Whenever this creature deals damage to a player, that player discards a card.",,,,
Virtue's Ruin,,,2B,3.0,B,Sorcery,,,,,,Destroy all white creatures.,,,,
Avatar of Woe,,,6BB,8.0,B,Creature — Avatar,,6/5,6,5,,"If there are ten or more creature cards total in all graveyards, this spell costs {6} less to cast.
Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
{T}: Destroy target creature. It can't be regenerated.",,,,
Pegasus Stampede,,,1W,2.0,W,Sorcery,,,,,,"Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Create a 1/1 white Pegasus creature token with flying.",,,,
Ekundu Griffin,,,3W,4.0,W,Creature — Griffin,,2/2,2,2,,"Flying, first strike",,,,
Endbringer's Revel,,,2B,3.0,B,Enchantment,,,,,,{4}: Return target creature card from a graveyard to its owner's hand. Any player may activate this ability but only as a sorcery.,,,,
Wei Infantry,,,1B,2.0,B,Creature — Human Soldier,,2/1,2,1,,,,,,
Vizzerdrix,,,6U,7.0,U,Creature — Rabbit Beast,,6/6,6,6,,,,,,
Helm of Awakening,,,2,2.0,N,Artifact,,,,,,Spells cost {1} less to cast.,,,,
Landslide,,,R,1.0,R,Sorcery,,,,,,Sacrifice any number of Mountains. Landslide deals that much damage to target player or planeswalker.,,,,
Natural Emergence,,,2RG,4.0,Z,Enchantment,,,,,,"When this enchantment enters, return a red or green enchantment you control to its owner's hand.
Lands you control are 2/2 creatures with first strike. They're still lands.",,,,
Shield Dancer,,,2W,3.0,W,Creature — Human Rebel,,1/3,1,3,,"{2}{W}: The next time target attacking creature would deal combat damage to this creature this turn, that creature deals that damage to itself instead.",,,,
Magus of the Unseen,,,1U,2.0,U,Creature — Human Wizard,,1/1,1,1,,"{1}{U}, {T}: Untap target artifact an opponent controls and gain control of it until end of turn. It gains haste until end of turn. When you lose control of the artifact, tap it.",,,,
Eye of Ramos,,,3,3.0,N,Artifact,,,,,,"{T}: Add {U}.
Sacrifice this artifact: Add {U}.",,,,
Ana Sanctuary,,,2G,3.0,G,Enchantment,,,,,,"At the beginning of your upkeep, if you control a blue or black permanent, target creature gets +1/+1 until end of turn. If you control a blue permanent and a black permanent, that creature gets +5/+5 until end of turn instead.",,,,
Emerald Charm,,,G,1.0,G,Instant,,,,,,"Choose one —
• Untap target permanent.
• Destroy target non-Aura enchantment.
• Target creature loses flying until end of turn.",,,,
Callous Oppressor,,,1UU,3.0,U,Creature — Octopus,,1/2,1,2,,"You may choose not to untap this creature during your untap step.
As this creature enters, an opponent chooses a creature type.
{T}: Gain control of target creature that isn't of the chosen type for as long as this creature remains tapped.",,,,
Thoughtbound Primoc,,,2R,3.0,R,Creature — Bird Beast,,2/3,2,3,,"Flying
At the beginning of your upkeep, if a player controls more Wizards than each other player, the player who controls the most Wizards gains control of this creature.",,,,
Dauthi Mercenary,,,2B,3.0,B,Creature — Dauthi Knight Mercenary,,2/1,2,1,,"Shadow (This creature can block or be blocked by only creatures with shadow.)
{1}{B}: This creature gets +1/+0 until end of turn.",,,,
Jolrael's Favor,,,1G,2.0,G,Enchantment — Aura,,,,,,"Flash
Enchant creature
{1}{G}: Regenerate enchanted creature.",,,,
Torture,,,B,1.0,B,Enchantment — Aura,,,,,,"Enchant creature
{1}{B}: Put a -1/-1 counter on enchanted creature.",,,,
Groffskithur,,,5G,6.0,G,Creature — Beast,,3/3,3,3,,"Whenever this creature becomes blocked, you may return target card named Groffskithur from your graveyard to your hand.",,,,
Crafty Pathmage,,,2U,3.0,U,Creature — Human Wizard,,1/1,1,1,,{T}: Target creature with power 2 or less can't be blocked this turn.,,,,
Miscalculation,,,1U,2.0,U,Instant,,,,,,"Counter target spell unless its controller pays {2}.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Master Apothecary,,,WWW,3.0,W,Creature — Human Cleric,,2/2,2,2,,Tap an untapped Cleric you control: Prevent the next 2 damage that would be dealt to any target this turn.,,,,
Infernal Caretaker,,,3B,4.0,B,Creature — Human Cleric,,2/2,2,2,,"Morph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, return all Zombie cards from all graveyards to their owners' hands.",,,,
Devout Harpist,,,W,1.0,W,Creature — Human,,1/1,1,1,,{T}: Destroy target Aura attached to a creature.,,,,
Steamclaw,,,2,2.0,N,Artifact,,,,,,"{3}, {T}: Exile target card from a graveyard.
{1}, Sacrifice this artifact: Exile target card from a graveyard.",,,,
Spitfire Handler,,,1R,2.0,R,Creature — Goblin,,1/1,1,1,,"This creature can't block creatures with power greater than this creature's power.
{R}: This creature gets +1/+0 until end of turn.",,,,
Urza's Armor,,,6,6.0,N,Artifact,,,,,,"If a source would deal damage to you, prevent 1 of that damage.",,,,
Whirlpool Rider,,,1U,2.0,U,Creature — Merfolk,,1/1,1,1,,"When this creature enters, shuffle the cards from your hand into your library, then draw that many cards.",,,,
Trench Wurm,,,3B,4.0,B,Creature — Wurm,,3/3,3,3,,"{2}{R}, {T}: Destroy target nonbasic land.",,,,
Pardic Arsonist,,,2RR,4.0,R,Creature — Human Barbarian,,3/3,3,3,,"Threshold — As long as seven or more cards are in your graveyard, this creature has ""When this creature enters, it deals 3 damage to any target.""",,,,
Drifting Meadow,,,,0.0,L,Land,,,,,,"This land enters tapped.
{T}: Add {W}.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Ebony Horse,,,3,3.0,N,Artifact,,,,,,"{2}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by that creature this turn.",,,,
Tek,,,5,5.0,N,Artifact Creature — Dragon,,2/2,2,2,,"This creature gets +0/+2 as long as you control a Plains, has flying as long as you control an Island, gets +2/+0 as long as you control a Swamp, has first strike as long as you control a Mountain, and has trample as long as you control a Forest.",,,,
Extravagant Spirit,,,3U,4.0,U,Creature — Spirit,,4/4,4,4,,"Flying
At the beginning of your upkeep, sacrifice this creature unless you pay {1} for each card in your hand.",,,,
"Jeska, Warrior Adept",,,2RR,4.0,R,Legendary Creature — Human Barbarian Warrior,,3/1,3,1,,"First strike, haste
{T}: Jeska deals 1 damage to any target.",,,,
Jackal Pup,,,R,1.0,R,Creature — Jackal,,2/1,2,1,,"Whenever this creature is dealt damage, it deals that much damage to you.",,,,
Aura of Silence,,,1WW,3.0,W,Enchantment,,,,,,"Artifact and enchantment spells your opponents cast cost {2} more to cast.
Sacrifice this enchantment: Destroy target artifact or enchantment.",,,,
Arctic Merfolk,,,1U,2.0,U,Creature — Merfolk,,1/1,1,1,,"Kicker—Return a creature you control to its owner's hand. (You may return a creature you control to its owner's hand in addition to any other costs as you cast this spell.)
If this creature was kicked, it enters with a +1/+1 counter on it.",,,,
Scavenging Ghoul,,,3B,4.0,B,Creature — Zombie,,2/2,2,2,,"At the beginning of each end step, put a corpse counter on this creature for each creature that died this turn.
Remove a corpse counter from this creature: Regenerate this creature.",,,,
Krosan Constrictor,,,3G,4.0,G,Creature — Snake,,2/2,2,2,,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
{T}: Target black creature gets -2/-0 until end of turn.",,,,
Gainsay,,,1U,2.0,U,Instant,,,,,,Counter target blue spell.,,,,
Mythic Proportions,,,4GGG,7.0,G,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +8/+8 and has trample.",,,,
Defensive Maneuvers,,,3W,4.0,W,Instant,,,,,,Creatures of the creature type of your choice get +0/+4 until end of turn.,,,,
Multani's Presence,,,G,1.0,G,Enchantment,,,,,,"Whenever a spell you've cast is countered, draw a card.",,,,
"Chainer, Dementia Master",,,3BB,5.0,B,Legendary Creature — Human Minion,,3/3,3,3,,"All Nightmares get +1/+1.
{B}{B}{B}, Pay 3 life: Put target creature card from a graveyard onto the battlefield under your control. That creature is black and is a Nightmare in addition to its other creature types.
When Chainer leaves the battlefield, exile all Nightmares.",,,,
Festering Wound,,,1B,2.0,B,Enchantment — Aura,,,,,,"Enchant creature
At the beginning of your upkeep, you may put an infection counter on this Aura.
At the beginning of the upkeep of enchanted creature's controller, this Aura deals X damage to that player, where X is the number of infection counters on this Aura.",,,,
Trolls of Tel-Jilad,,,5GG,7.0,G,Creature — Troll Shaman,,5/6,5,6,,{1}{G}: Regenerate target green creature.,,,,
Charging Slateback,,,4R,5.0,R,Creature — Beast,,4/3,4,3,,"This creature can't block.
Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Auramancer,,,2W,3.0,W,Creature — Human Wizard,,2/2,2,2,,"When this creature enters, you may return target enchantment card from your graveyard to your hand.",,,,
Chalice of the Void,,,XX,0.0,N,Artifact,,,,,,"This artifact enters with X charge counters on it.
Whenever a player casts a spell with mana value equal to the number of charge counters on this artifact, counter that spell.",,,,
Neurok Spy,,,2U,3.0,U,Creature — Human Rogue,,2/2,2,2,,This creature can't be blocked as long as defending player controls an artifact.,,,,
Mind's Eye,,,5,5.0,N,Artifact,,,,,,"Whenever an opponent draws a card, you may pay {1}. If you do, draw a card.",,,,
Rotting Giant,,,1B,2.0,B,Creature — Zombie Giant,,3/3,3,3,,"Whenever this creature attacks or blocks, sacrifice it unless you exile a card from your graveyard.",,,,
Mind Bomb,,,U,1.0,U,Sorcery,,,,,,Each player may discard up to three cards. Mind Bomb deals damage to each player equal to 3 minus the number of cards they discarded this way.,,,,
Planeswalker's Mischief,,,2U,3.0,U,Enchantment,,,,,,"{3}{U}: Target opponent reveals a card at random from their hand. If it's an instant or sorcery card, exile it. You may cast it without paying its mana cost for as long as it remains exiled. At the beginning of the next end step, if you haven't cast it, return it to its owner's hand. Activate only as a sorcery.",,,,
Alpha Myr,,,2,2.0,N,Artifact Creature — Myr,,2/1,2,1,,,,,,
Seashell Cameo,,,3,3.0,N,Artifact,,,,,,{T}: Add {W} or {U}.,,,,
Cultural Exchange,,,4UU,6.0,U,Sorcery,,,,,,Choose any number of creatures target player controls. Choose the same number of creatures another target player controls. Those players exchange control of those creatures. (This effect lasts indefinitely.),,,,
Wall of Granite,,,2R,3.0,R,Creature — Wall,,0/7,0,7,,Defender (This creature can't attack.),,,,
"Barrin, Master Wizard",,,1UU,3.0,U,Legendary Creature — Human Wizard,,1/1,1,1,,"{2}, Sacrifice a permanent: Return target creature to its owner's hand.",,,,
Goblin Festival,,,1R,2.0,R,Enchantment,,,,,,"{2}: This enchantment deals 1 damage to any target. Flip a coin. If you lose the flip, choose one of your opponents. That player gains control of this enchantment.",,,,
Thaumatog,,,1GW,3.0,Z,Creature — Atog,,1/2,1,2,,"Sacrifice a land: This creature gets +1/+1 until end of turn.
Sacrifice an enchantment: This creature gets +1/+1 until end of turn.",,,,
Spirit Weaver,,,1W,2.0,W,Creature — Human Wizard,,2/1,2,1,,{2}: Target green or blue creature gets +0/+1 until end of turn.,,,,
Erithizon,,,2GG,4.0,G,Creature — Beast,,4/4,4,4,,"Whenever this creature attacks, put a +1/+1 counter on target creature of defending player's choice.",,,,
Incite War,,,2R,3.0,R,Instant,,,,,,"Choose one —
• Creatures target player controls attack this turn if able.
• Creatures you control gain first strike until end of turn.
Entwine {2} (Choose both if you pay the entwine cost.)",,,,
Eradicate,,,2BB,4.0,B,Sorcery,,,,,,"Exile target nonblack creature. Search its controller's graveyard, hand, and library for all cards with the same name as that creature and exile them. Then that player shuffles.",,,,
Agent of Shauku,,,1B,2.0,B,Creature — Human Mercenary,,1/1,1,1,,"{1}{B}, Sacrifice a land: Target creature gets +2/+0 until end of turn.",,,,
Respite,,,1G,2.0,G,Instant,,,,,,Prevent all combat damage that would be dealt this turn. You gain 1 life for each attacking creature.,,,,
Wayward Soul,,,2UU,4.0,U,Creature — Spirit,,3/2,3,2,,"Flying
{U}: Put this creature on top of its owner's library.",,,,
Cursed Rack,,,4,4.0,N,Artifact,,,,,,"As this artifact enters, choose an opponent.
The chosen player's maximum hand size is four.",,,,
Dragon Roost,,,4RR,6.0,R,Enchantment,,,,,,{5}{R}{R}: Create a 5/5 red Dragon creature token with flying. (It can't be blocked except by creatures with flying or reach.),,,,
Molting Harpy,,,B,1.0,B,Creature — Harpy Mercenary,,2/1,2,1,,"Flying
At the beginning of your upkeep, sacrifice this creature unless you pay {2}.",,,,
Overmaster,,,R,1.0,R,Sorcery,,,,,,"The next instant or sorcery spell you cast this turn can't be countered.
Draw a card.",,,,
Vertigo,,,R,1.0,R,Instant,,,,,,Vertigo deals 2 damage to target creature with flying. That creature loses flying until end of turn.,,,,
"Hua Tuo, Honored Physician",,,1GG,3.0,G,Legendary Creature — Human,,1/2,1,2,,"{T}: Put target creature card from your graveyard on top of your library. Activate only during your turn, before attackers are declared.",,,,
Scattershot,,,2R,3.0,R,Instant,,,,,,"Scattershot deals 1 damage to target creature.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",,,,
Gilded Light,,,1W,2.0,W,Instant,,,,,,"You gain shroud until end of turn. (You can't be the target of spells or abilities.)
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Astral Slide,,,2W,3.0,W,Enchantment,,,,,,"Whenever a player cycles a card, you may exile target creature. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step.",,,,
Stupefying Touch,,,1U,2.0,U,Enchantment — Aura,,,,,,"Enchant creature
When this Aura enters, draw a card.
Enchanted creature's activated abilities can't be activated.",,,,
Magnigoth Treefolk,,,4G,5.0,G,Creature — Treefolk,,2/6,2,6,,"Domain — For each basic land type among lands you control, this creature has landwalk of that type. (It can't be blocked as long as defending player controls a land of that type.)",,,,
Tooth of Ramos,,,3,3.0,N,Artifact,,,,,,"{T}: Add {W}.
Sacrifice this artifact: Add {W}.",,,,
Death's-Head Buzzard,,,1BB,3.0,B,Creature — Bird,,2/1,2,1,,"Flying
When this creature dies, all creatures get -1/-1 until end of turn.",,,,
Impending Disaster,,,1R,2.0,R,Enchantment,,,,,,"At the beginning of your upkeep, if there are seven or more lands on the battlefield, sacrifice this enchantment and destroy all lands.",,,,
Vitalizing Wind,,,8G,9.0,G,Instant,,,,,,Creatures you control get +7/+7 until end of turn.,,,,
Elephant Resurgence,,,1G,2.0,G,Sorcery,,,,,,"Each player creates a green Elephant creature token. Those creatures have ""This token's power and toughness are each equal to the number of creature cards in its controller's graveyard.""",,,,
Withdraw,,,UU,2.0,U,Instant,,,,,,Return target creature to its owner's hand. Then return another target creature to its owner's hand unless its controller pays {1}.,,,,
Noble Purpose,,,3WW,5.0,W,Enchantment,,,,,,"Whenever a creature you control deals combat damage, you gain that much life.",,,,
Treacherous Vampire,,,4B,5.0,B,Creature — Vampire,,4/4,4,4,,"Flying
Whenever this creature attacks or blocks, sacrifice it unless you exile a card from your graveyard.
Threshold — As long as seven or more cards are in your graveyard, this creature gets +2/+2 and has ""When this creature dies, you lose 6 life.""",,,,
Thornscape Apprentice,,,G,1.0,G,Creature — Human Wizard,,1/1,1,1,,"{R}, {T}: Target creature gains first strike until end of turn.
{W}, {T}: Tap target creature.",,,,
Shu Farmer,,,1W,2.0,W,Creature — Human,,1/1,1,1,,"{T}: You gain 1 life. Activate only during your turn, before attackers are declared.",,,,
Ironroot Treefolk,,,4G,5.0,G,Creature — Treefolk,,3/5,3,5,,,,,,
Standstill,,,1U,2.0,U,Enchantment,,,,,,"When a player casts a spell, sacrifice this enchantment. If you do, each of that player's opponents draws three cards.",,,,
Brass Man,,,1,1.0,N,Artifact Creature — Construct,,1/3,1,3,,"This creature doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {1}. If you do, untap this creature.",,,,
Yellow Scarves Cavalry,,,1R,2.0,R,Creature — Human Soldier,,1/1,1,1,,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
This creature can't block.",,,,
Dromar's Charm,,,WUB,3.0,Z,Instant,,,,,,"Choose one —
• You gain 5 life.
• Counter target spell.
• Target creature gets -2/-2 until end of turn.",,,,
Rabid Wombat,,,2GG,4.0,G,Creature — Wombat,,0/1,0,1,,"Vigilance
This creature gets +2/+2 for each Aura attached to it.",,,,
Archery Training,,,W,1.0,W,Enchantment — Aura,,,,,,"Enchant creature
At the beginning of your upkeep, you may put an arrow counter on this Aura.
Enchanted creature has ""{T}: This creature deals X damage to target attacking or blocking creature, where X is the number of arrow counters on Archery Training.""",,,,
Thundercloud Elemental,,,5UU,7.0,U,Creature — Elemental,,3/4,3,4,,"Flying
{3}{U}: Tap all creatures with toughness 2 or less.
{3}{U}: All other creatures lose flying until end of turn.",,,,
Cabal Ritual,,,1B,2.0,B,Instant,,,,,,"Add {B}{B}{B}.
Threshold — Add {B}{B}{B}{B}{B} instead if seven or more cards are in your graveyard.",,,,
Tonic Peddler,,,1W,2.0,W,Creature — Human Spellshaper,,1/1,1,1,,"{W}, {T}, Discard a card: Target player gains 3 life.",,,,
Unseen Walker,,,1G,2.0,G,Creature — Dryad,,1/1,1,1,,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
{1}{G}{G}: Target creature gains forestwalk until end of turn.",,,,
Graxiplon,,,5U,6.0,U,Creature — Beast,,3/4,3,4,,This creature can't be blocked unless defending player controls three or more creatures that share a creature type.,,,,
Task Mage Assembly,,,2R,3.0,R,Enchantment,,,,,,"When there are no creatures on the battlefield, sacrifice this enchantment.
{2}: This enchantment deals 1 damage to target creature. Any player may activate this ability but only as a sorcery.",,,,
Soulcatcher,,,1W,2.0,W,Creature — Bird Soldier,,1/1,1,1,,"Flying
Whenever a creature with flying dies, put a +1/+1 counter on this creature.",,,,
Sapphire Medallion,,,2,2.0,N,Artifact,,,,,,Blue spells you cast cost {1} less to cast.,,,,
Vug Lizard,,,1RR,3.0,R,Creature — Lizard,,3/4,3,4,,"Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Echo {1}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",,,,
Viridian Shaman,,,2G,3.0,G,Creature — Elf Shaman,,2/2,2,2,,"When this creature enters, destroy target artifact.",,,,
Sword of Kaldra,,,4,4.0,N,Legendary Artifact — Equipment,,,,,,"Equipped creature gets +5/+5.
Whenever equipped creature deals damage to a creature, exile that creature. (Exile it only if it's still on the battlefield.)
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery. This card enters unattached and stays on the battlefield if the creature leaves.)",,,,
Whip Sergeant,,,2R,3.0,R,Creature — Human Soldier,,2/1,2,1,,{R}: Target creature gains haste until end of turn. (It can attack this turn.),,,,
Hunting Moa,,,2G,3.0,G,Creature — Bird Beast,,3/2,3,2,,"Echo {2}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When this creature enters or dies, put a +1/+1 counter on target creature.",,,,
Robber Fly,,,2R,3.0,R,Creature — Insect,,1/1,1,1,,"Flying
Whenever this creature becomes blocked, defending player discards all the cards in their hand, then draws that many cards.",,,,
Stronghold Machinist,,,2U,3.0,U,Creature — Human Spellshaper,,1/1,1,1,,"{U}{U}, {T}, Discard a card: Counter target noncreature spell.",,,,
